celltype,bin,gene,mean,det,n_cells
astro,0.1,FTL,0.973530096846206,0.72196261682243,428
astro,0.1,CP,0.095405169249138,0.105140186915888,428
astro,0.1,LDHA,0.270522274285833,0.327102803738318,428
astro,0.1,HK2,0.216841147881802,0.170560747663551,428
astro,0.1,PFKFB3,1.71252656519134,0.913551401869159,428
astro,0.1,NEFL,0.0206162893326483,0.0280373831775701,428
astro,0.1,PTGDS,1.42809242316496,0.892523364485981,428
astro,0.1,MOG,0.0227434892102937,0.0280373831775701,428
astro,0.1,MAG,0.0166047123548026,0.0186915887850467,428
astro,0.1,SNAP25,0.415571303637785,0.448598130841121,428
astro,0.1,SYT1,0.465752106334004,0.485981308411215,428
astro,0.1,SLC17A7,0.0726625323991909,0.100467289719626,428
astro,0.1,RBFOX3,0.0768935916440509,0.100467289719626,428
astro,0.1,ATP6V1A,0.390396197822606,0.418224299065421,428
astro,0.1,ATP6V1B2,0.281675960555255,0.30607476635514,428
astro,0.1,ATP6V0A1,0.732282501793353,0.677570093457944,428
astro,0.1,ATP6V0C,0.17682888428463,0.233644859813084,428
astro,0.1,ATP6V0D1,0.0916738865252967,0.156542056074766,428
astro,0.1,ATP6V1E1,0.240288322008102,0.308411214953271,428
astro,0.2,CA2,0.105697155555978,0.154585335283058,4787
astro,0.2,CA4,0.0059727258452648,0.00856486317108836,4787
astro,0.2,CA12,0.206305140626687,0.225819928974305,4787
astro,0.2,CA14,0.00284241914674437,0.0050135784416127,4787
astro,0.2,CA8,1.0072255425384,0.719030708167955,4787
