gene,rho
ABHD4,-0.254512203658916
MRPL52,-0.0737302739831694
CDH24,-0.094983224702361
DHRS4,0.108768724851621
CARMIL3,0.167550057211202
NRL,0.036269937909814
PSME1,0.137627792289212
TM9SF1,0.0513887961188696
CFL2,0.0527074984176812
SLC25A21,0.241995914468657
MDGA2,0.112943916792686
RPL36AL,-0.117517399461525
DNAAF2,0.198230434051134
GNPNAT1,-0.434313073070275
TRMT5,-0.43631763595805
RAB15,-0.0682230084014272
PIGH,0.0857210274668605
EIF2B2,-0.0477326430997019
ERG28,-0.190928958317403
TMEM63C,0.0567037366343583
TSHR,0.0316519609240194
FAM181A,-0.0628459997245535
GLRX5,-0.193166444923469
MEG3,0.137945091420418
SIVA1,0.0305830493325325
CEP170B,0.147368800868384
AHNAK2,0.135288288514192
CHRFAM7A,0.0407765302598627
CHRNA7,-0.168758115300813
EMC4,0.0518513781375334
GPR176,0.0500384959478813
CCDC9B,0.373676340014184
EHD4,0.0156883530828891
CDAN1,0.0803416756548152
ZSCAN29,-0.166395416622097
PATL2,0.00375601980172799
SORD,0.0561454894756063
SQOR,0.183813718810872
ATP8B4,-0.238463535535433
TNFAIP8L3,-0.464748369687329
RSL24D1,-0.112724409234406
MNS1,-0.242093217736266
POLR2M,0.0700874481109531
ANXA2,0.0923547292679187
DAPK2,-0.0180861560680977
SNAPC5,0.0313073179873442
CALML4,0.359525434684948
GLCE,-0.209291006020142
LARP6,0.0172457357940038
STOML1,-0.0906400333382807
MPI,-0.0362021265854159
IMP3,-0.281278221634371
TMEM266,-0.18111833073262
HYKK,-0.244100319696792
GOLGA6L10,0.0186225935424448
GOLGA6L4,0.142112868530907
FANCI,0.173267739295789
RHCG,0.21522151874168
ARPIN,-0.232491747873204
FURIN,0.0356246035342535
RCCD1,0.0870187538619451
MRPL28,-0.0550040546212281
WDR90,0.166963928470571
RHBDL1,0.0969508364646794
SOX8,0.133894065287899
CCDC154,0.207138787086047
JPT2,0.095370074348199
EME2,-0.046070687452488
NUBP2,0.0633643569175852
CCNF,-0.271455344763006
AMDHD2,-0.00785431883387475
KCTD5,-0.406807456314756
PAQR4,0.0332095797262892
ZNF205,0.228776037272783
ZSCAN32,-0.114476852430305
NAA60,0.0111499790081202
SLX4,-0.140192713135519
GLIS2,-0.191089724172156
GRIN2A,0.142295179135651
NUBP1,0.0253767373457354
SNN,0.391114898619383
NPIPB2,0.05636222213627
NPIPA5,0.502919576939189
GDE1,0.0587539918737493
PRKCB,-0.209722369974718
SLC5A11,0.479038587653819
HS3ST4,0.0384168984528617
GSG1L,0.35709422304812
LAT,0.0775154324745288
KIF22,0.0734226070141977
CDIPT,0.00523949012135475
ASPHD1,0.215369450487977
MYLPF,0.272696578206526
SEPTIN1,-0.0812754200603737
ZNF688,0.165427800949483
TMEM265,0.0847674225592932
ZNF629,-0.336406223917653
ORAI3,0.299367891314
ARMC5,-0.0252178918318338
CCDC113,0.038595731529585
SETD6,0.193463458686639
TRADD,0.0746681192876809
FHOD1,-0.0288448948985701
ENKD1,0.116829981375511
TSNAXIP1,0.0475818940897959
NUTF2,0.00295657237797737
PLA2G15,-0.256428610128374
NPIPB15,0.243298358334448
LDHD,0.0109315652321789
ZFP1,-0.0910989910293781
NUDT7,-0.269665323145461
DYNLRB2,0.0220678721363947
SNAI3,-0.0442849811360252
RNF166,0.144363793746053
SPATA33,0.13278595392746
SPATA2L,0.113018188085156
RPH3AL,0.227893107602129
C17orf97,0.0300212187653539
SCARF1,0.0517580366621166
RTN4RL1,0.202633404393981
DPH1,-0.158829092559892
SRR,-0.0494015944130276
SPATA22,0.0508373221039907
MED11,-0.0351949712144945
PFN1,0.0123178106758379
ENO3,0.0816738476616301
C1QBP,0.242325157432194
ELP5,-0.05845742586885
EIF5A,0.0715249437662221
CHRNB1,0.0202198219738797
TNFSF12,0.104347063345937
CHD3,-0.214021572285105
ADPRM,-0.115323610891636
PIRT,0.0498097338421666
HS3ST3B1,-0.0271130394658909
ZNF624,-0.171356348682703
PEMT,-0.119848118601547
SMCR5,0.0358447007424359
LLGL1,0.47259795338697
RNF112,-0.0346776246723706
TMEM199,0.13467222166907
PROCA1,0.0038337838111766
NEK8,-0.17691363404934
ERAL1,-0.126618604956055
ASIC2,0.0140443482695453
ZNHIT3,-0.0113940289747774
PSMB3,-0.114071634744225
PGAP3,-0.0214083956737347
GSDMB,0.071960132155407
KRT10,0.0888671643198289
GHDC,0.276551187905964
STAT5A,-0.135538727127722
HSD17B1,0.176727692759524
PSME3,-0.185291035531249
RUNDC1,0.112755254166601
ETV4,0.182231511482341
MPP3,0.328889129512648
G6PC3,0.27079789110739
FAM171A2,0.0946637094908271
CCDC43,0.229333075740305
ADAM11,-0.0225081327084375
HEXIM1,0.130286718313702
COPZ2,0.0954520524266406
ATP5MC1,0.0374275906561312
PPP1R9B,-0.0592933324497007
